id_reserv,trajet,inscrit
0,0,0
1,37,31
2,13,83
3,28,7
4,36,72
5,114,92
6,19,4
7,25,92
8,18,34
9,96,45
10,146,7
11,65,34
12,5,76
13,130,98
14,35,94
15,20,54
16,101,62
17,119,10
18,80,70
19,116,52
20,18,61
21,95,82
22,6,63
23,39,99
24,143,29
25,86,15
26,34,53
27,33,12
28,106,16
29,56,47
30,32,26
31,98,32
33,64,21
34,81,92
35,4,6
37,123,44
38,123,53
39,118,92
40,32,7
41,61,83
42,13,99
43,62,6
44,56,65
46,76,68
47,85,11
48,53,3
49,92,33
50,49,31
52,93,96
53,76,2
54,129,6
55,104,81
56,65,47
57,1,70
59,117,54
60,147,82
61,50,49
63,26,62
64,9,60
65,81,28
66,140,67
67,142,96
68,83,26
69,26,35
70,104,2
71,87,44
72,63,83
74,89,37
75,66,15
76,82,60
77,94,57
78,29,75
79,126,53
